Open time,BTCUSDT,ETHUSDT
2020-07-15 00:00:00+00:00,9197.6,238.61
2020-07-16 00:00:00+00:00,9133.72,233.57
2020-07-17 00:00:00+00:00,9154.32,232.67
2020-07-18 00:00:00+00:00,9170.28,235.67
2020-07-19 00:00:00+00:00,9208.99,239.11
2020-07-20 00:00:00+00:00,9160.78,236.01
2020-07-21 00:00:00+00:00,9390.0,245.59
2020-07-22 00:00:00+00:00,9518.16,263.74
2020-07-23 00:00:00+00:00,9603.27,275.3
2020-07-24 00:00:00+00:00,9537.8,279.15
2020-07-25 00:00:00+00:00,9700.42,305.26
2020-07-26 00:00:00+00:00,9931.54,311.0
2020-07-27 00:00:00+00:00,11029.96,321.93
2020-07-28 00:00:00+00:00,10906.27,316.77
2020-07-29 00:00:00+00:00,11100.53,317.71
2020-07-30 00:00:00+00:00,11099.61,334.87
2020-07-31 00:00:00+00:00,11335.46,346.33
2020-08-01 00:00:00+00:00,11801.17,387.0
2020-08-02 00:00:00+00:00,11071.35,372.42
2020-08-03 00:00:00+00:00,11219.81,385.94
2020-08-04 00:00:00+00:00,11191.97,389.61
2020-08-05 00:00:00+00:00,11744.91,400.72
2020-08-06 00:00:00+00:00,11762.46,394.77
2020-08-07 00:00:00+00:00,11594.23,379.34
2020-08-08 00:00:00+00:00,11761.41,397.03
2020-08-09 00:00:00+00:00,11681.68,390.14
2020-08-10 00:00:00+00:00,11892.92,395.44
2020-08-11 00:00:00+00:00,11392.08,379.0
2020-08-12 00:00:00+00:00,11564.33,387.18
2020-08-13 00:00:00+00:00,11780.0,424.54
2020-08-14 00:00:00+00:00,11760.54,438.11
2020-08-15 00:00:00+00:00,11852.4,432.32
2020-08-16 00:00:00+00:00,11911.0,433.62
2020-08-17 00:00:00+00:00,12281.13,430.89
2020-08-18 00:00:00+00:00,11945.01,421.95
2020-08-19 00:00:00+00:00,11754.59,407.46
2020-08-20 00:00:00+00:00,11853.55,415.94
2020-08-21 00:00:00+00:00,11531.34,387.97
2020-08-22 00:00:00+00:00,11662.96,395.24
2020-08-23 00:00:00+00:00,11648.13,390.71
2020-08-24 00:00:00+00:00,11748.2,407.68
2020-08-25 00:00:00+00:00,11318.42,382.93
2020-08-26 00:00:00+00:00,11461.43,385.81
2020-08-27 00:00:00+00:00,11330.38,383.27
2020-08-28 00:00:00+00:00,11526.91,395.11
2020-08-29 00:00:00+00:00,11465.84,398.65
2020-08-30 00:00:00+00:00,11711.16,428.94
2020-08-31 00:00:00+00:00,11649.51,433.79
2020-09-01 00:00:00+00:00,11921.97,475.4
2020-09-02 00:00:00+00:00,11388.54,439.5
2020-09-03 00:00:00+00:00,10140.85,381.4
2020-09-04 00:00:00+00:00,10446.25,385.26
2020-09-05 00:00:00+00:00,10166.69,335.01
2020-09-06 00:00:00+00:00,10256.2,352.8
2020-09-07 00:00:00+00:00,10373.44,353.59
2020-09-08 00:00:00+00:00,10126.65,337.39
2020-09-09 00:00:00+00:00,10219.2,350.85
2020-09-10 00:00:00+00:00,10336.87,367.93
2020-09-11 00:00:00+00:00,10387.89,373.63
2020-09-12 00:00:00+00:00,10440.92,387.78
2020-09-13 00:00:00+00:00,10332.83,366.42
2020-09-14 00:00:00+00:00,10671.77,377.12
2020-09-15 00:00:00+00:00,10785.31,364.06
2020-09-16 00:00:00+00:00,10954.01,365.11
2020-09-17 00:00:00+00:00,10939.99,389.36
2020-09-18 00:00:00+00:00,10933.39,384.39
2020-09-19 00:00:00+00:00,11080.65,385.25
2020-09-20 00:00:00+00:00,10920.28,371.04
2020-09-21 00:00:00+00:00,10417.22,340.36
2020-09-22 00:00:00+00:00,10529.61,344.21
2020-09-23 00:00:00+00:00,10241.46,320.72
2020-09-24 00:00:00+00:00,10736.32,348.97
2020-09-25 00:00:00+00:00,10686.67,351.92
2020-09-26 00:00:00+00:00,10728.6,353.92
2020-09-27 00:00:00+00:00,10774.25,357.49
2020-09-28 00:00:00+00:00,10696.12,353.96
2020-09-29 00:00:00+00:00,10840.48,359.79
2020-09-30 00:00:00+00:00,10776.59,359.83
2020-10-01 00:00:00+00:00,10619.13,352.85
2020-10-02 00:00:00+00:00,10570.4,345.6
2020-10-03 00:00:00+00:00,10542.06,345.95
2020-10-04 00:00:00+00:00,10666.63,352.37
2020-10-05 00:00:00+00:00,10792.21,353.62
2020-10-06 00:00:00+00:00,10599.66,340.75
2020-10-07 00:00:00+00:00,10666.39,341.58
